ticks (50 tps),lower angle,upper angle,holding angle,system x,acceleration,lower acceleration (shoulder),upper acceleration (elbow),,,,2645,0.640433625,2.596652269,0,0.386776147,5.19E-05,-0.032313652,-0.057495229
2872,0.748150126,2.027575254,0,0.228117287,6.78E-05,-0.031364881,0.000355825,,,,,,,,,,,
2873,0.747770087,2.026932716,0,0.231849864,6.06E-05,-0.019001666,0.032129664,,,,,,,,,,,
2874,0.747641937,2.025643826,0,0.23513338,5.33E-05,-0.006406437,0.064449303,,,,,,,,,,,
2875,0.74776955,2.023699045,0,0.237968854,4.60E-05,0.006381571,0.09723869,,,,,,,,,,,
2876,0.748157219,2.021089315,0,0.240355122,3.87E-05,0.019382849,0.130479991,,,,,,,,,,,
2877,0.748808161,2.017807245,0,0.2422965,3.15E-05,0.03254557,0.164100125,,,,,,,,,,,
2878,0.749726013,2.013845682,0,0.24379557,2.43E-05,0.04589216,0.198077291,,,,,,,,,,,
2879,0.750913934,2.009198666,0,0.244857294,1.72E-05,0.059392616,0.232351363,,,,,,,,,,,
2880,0.752374725,2.00386095,0,0.245489109,1.02E-05,0.073040701,0.266886741,,,,,,,,,,,
2881,0.754111127,1.997828603,0,0.245697697,3.38E-06,0.0868195,0.301622152,,,,,,,,,,,
2882,0.756125585,1.991097927,0,0.245492632,-3.32E-06,0.100723058,0.336531639,,,,,,,,,,,
2883,0.758420304,1.983666658,0,0.244883528,-9.85E-06,0.11473605,0.37156558,,,,,,,,,,,
2884,0.76099755,1.97553277,0,0.243880286,-1.62E-05,0.12886253,0.406696498,,,,,,,,,,,
2885,0.763859049,1.966695189,0,0.242495632,-2.24E-05,0.143074125,0.441875786,,,,,,,,,,,
2886,0.767006473,1.957153678,0,0.240741967,-2.83E-05,0.157369614,0.477072239,,,,,,,,,,,
2887,0.77044131,1.946908951,0,0.238631765,-3.41E-05,0.171741217,0.512242079,,,,,,,,,,,
2888,0.774164931,1.935961723,0,0.236179058,-3.96E-05,0.186178923,0.547364593,,,,,,,,,,,
2889,0.778178469,1.924313664,0,0.233398109,-4.49E-05,0.200678259,0.582406163,,,,,,,,,,,
